Desplaz. [mm]	Fuerza [N]
0	0
0.060547936	0
0.18657002	-0.531749324
0.323427389	-0.7629
0.45341669	-0.460148494
0.600428464	-0.213808389
0.728438477	-0.392279616
0.850075844	-0.996308062
0.998117104	-0.7629
1.122124539	-0.730497997
1.256591653	0
1.389098374	-0.458566554
1.526581124	-0.7629
1.649368881	-0.290053014
1.773821613	0
1.882748438	-0.7629
2.051939432	-0.7629
2.185469367	-0.7629
2.324219903	-0.7629
2.461790081	-0.7629
2.574760095	-0.7629
2.723197184	-0.7629
2.849324358	-0.7629
2.981920944	-0.738091312
3.129081749	-0.082011365
3.265203998	-0.7629
3.393008636	-0.284753583
3.520744439	-0.356706626
3.663182124	-0.666502475
3.788954116	-0.418478784
3.914058082	-0.012647908
4.056507348	0.955160135
4.188079607	1.526
4.318150738	2.279435193
4.451948646	2.289
4.554321073	2.153658063
4.697317188	1.526
4.859254564	1.929358235
4.981793153	1.535863952
5.125688086	1.526
5.261208086	1.526
5.401408608	1.954400237
5.52649126	2.289
5.656401676	1.868630459
5.787453202	2.147954441
5.91922849	1.526
6.071708465	2.125224499
6.198923854	1.905530478
6.329558452	2.178163727
6.461919247	2.289
6.587821161	1.928189525
6.727506725	2.289
6.859695607	1.973231521
6.997991999	1.708963094
7.131326438	1.526
7.249472686	1.994612981
7.392802931	2.289
7.5258505	2.795099111
7.655657348	3.188235663
7.789037299	4.522674807
7.931813916	5.558761593
8.066928258	6.155154214
8.176017113	6.887388992
8.32458461	7.629
8.450013271	8.818170314
8.582515497	9.793798671
8.714992815	10.45639115
8.856218008	11.44
8.996910605	12.54736335
9.124449914	13.21520555
9.263880406	15.18514623
9.399575417	15.70630932
9.515015683	16.85575773
9.656161473	18.02120841
9.796487575	19.00040964
9.906091823	19.77518577
10.04223827	20.88669844
10.15934537	21.62162138
10.30781064	22.13
10.4441127	22.13
10.58691532	22.89
10.72925836	23.6636002
10.86188749	24.50857135
10.99279023	25.18
11.11059322	26.27076597
11.26141577	27.8879163
11.39091745	28.82274147
11.51616049	30.10046395
11.65759993	30.7618727
11.77678945	31.72234694
11.91670636	33.00973752
12.04344118	33.95902105
12.18909104	35.1
12.31558845	36.36289555
12.44791517	37.01618158
12.58921958	37.89231239
12.71403418	39.07740832
12.83922716	40.209406
12.98314072	40.96160003
13.11425179	42.17541333
13.24875381	43.01502371
13.37608747	44.04844225
13.52187402	44.94315555
13.6388031	45.63432839
13.75277813	46.72339571
13.91135531	47.97744047
14.04573969	48.61202878
14.19407404	50.16151695
14.35491465	51.65089135
14.49413267	52.66208537
14.64054472	53.77001603
14.80383369	54.67507905
14.95948822	55.34890738
15.10669481	56.28666197
15.24904103	57.38372222
15.40711041	58.19609194
15.55641871	58.97713988
15.70384566	60.01688219
15.85237898	60.6127844
16.00607712	61.3796852
16.16082138	62.58100147
16.31777999	63.18419278
16.45094912	64.43387158
16.57617788	64.35710519
16.72985353	65.24918906
16.87712811	65.61
16.99423068	65.96442985
17.13200881	66.97773923
17.27180089	67.14
17.42199507	67.47901282
17.55112863	67.9
17.68848391	68.57781707
17.82355832	68.66
17.94081593	68.8638169
18.08266808	68.80909992
18.2227736	69.43
18.35650689	69.43
18.47488623	69.43
18.58602142	69.43
18.74515802	69.43
18.8875257	69.43
19.01697407	69.43
19.14317978	69.43
19.29200479	69.63564401
19.40762164	69.91320158
19.54118623	69.64634864
19.68279441	69.43
19.80389368	69.53436892
19.94932058	69.49342318
20.08128118	70.19
20.21841352	69.89659603
20.32953668	69.85327309
20.46514568	69.43
20.60740892	69.43
20.73921758	69.43
20.86708317	69.31628545
21.00192297	69.40093428
21.14259573	68.85989632
21.27796323	68.86973855
21.40634244	68.93444016
