Desplaz. [mm]	Fuerza [N]
0	0
0.001713993	-0.7629
0.008238296	1.526
0.02014	15.64691151
0.05044	21.33667075
0.07343	25.94
0.1187	45.01
0.1187	54.93
0.1652	54.93
0.1652	57.22
0.222305109	57.92160953
0.232	57.98
0.232	59.1081785
0.260224214	60.27
0.2834	72.48
0.321	72.48
0.321	72.48
0.34745817	116
0.394841599	128.9
0.3961	164.8
0.4435	167.2171664
0.464773614	195.3
0.477	195.3
0.477	244.9
0.536518433	244.9
0.5415	278.5
0.582108871	290.2737445
0.6012	303.0817934
0.626125244	328.8
0.6429	328.8
0.694090902	370
0.6957	406.6
0.7393	420.6413357
0.7646	435.4559052
0.799450748	460.1
0.8046	460.1
0.80994619	494.4
0.8464	494.4
0.8464	534.8
0.9002	546.0006832
0.926489562	560
0.940886032	589
0.968	589
0.968	607.3420112
1.002393281	621.8
1.011	621.8
1.055821878	656.1
1.057	692
1.104	697.9733214
1.131	713.3
1.159234124	744.6
1.174	744.6
1.199448565	778.2
1.22	805.3938445
1.263	812.8533269
1.283455108	835.4
1.301	835.4
1.337	864.4
1.337	895.375
1.385	898
1.386078019	927
1.427	940.0716681
1.457858054	953.7
1.477082617	978.9
1.501	978.9
1.536940854	1005
1.54	1005
1.54	1039
1.589	1049.738557
1.617363408	1063
1.627	1063
1.627	1093.673269
1.67409586	1102.029369
1.702	1112
1.702	1144
1.754	1144
1.778395404	1168
1.792	1168
1.814747085	1202
1.860909546	1213
1.866	1237
1.90886216	1237
1.920812262	1259
1.948	1259
1.948	1259
1.948	1291
2.001508613	1291
2.013077739	1311
2.045	1311
2.052931547	1336
2.089010554	1349.623474
2.113	1359.358652
2.136047576	1374
2.155	1374
2.155	1374
2.166487735	1410
2.228475343	1422
2.237	1439.508502
2.275	1440
2.319	1465
2.327913575	1487
2.357	1487
2.361886825	1520
2.426698424	1531.68068
2.437	1549.479503
2.468525605	1555
2.481	1577
2.521	1577
2.521	1597.561672
2.548016391	1604
2.5873864	1620
2.601	1634.505735
2.632000286	1647
2.656016612	1665
2.683	1665
2.683	1665
2.733	1691
2.733	1691
2.762790603	1718
2.795222057	1731
2.808	1750.465994
2.847	1751.591403
2.863862717	1774
2.89	1774
2.89	1785.215795
2.908822795	1799
2.939	1814.003978
2.963061282	1826
3.009	1834
3.009	1854
3.054	1854
3.054	1858.789713
3.073743994	1874
3.094	1874
3.094	1879.96498
3.094	1900
3.159400198	1908.681467
3.175	1921.477791
3.207519674	1929
3.222	1946
3.262	1946
3.266041502	1965
3.314	1971.819419
3.346	1975.664355
3.366554339	1987
3.397325124	1994
3.418	1994
3.427097123	2000
3.466	2000
3.466	2001.9482
3.513176067	2001.849452
3.542	2000
3.545076275	1996
3.582	1991.927537
3.607795505	1987
3.625	1987
3.639227567	1974
3.674	1967.59048
3.69974439	1961
3.735055492	1953
3.745	1953
3.749049119	1936
3.797	1930.501574
3.829	1926
3.829	1912
3.883	1909.260099
3.90959336	1904
3.912	1904
3.95975432	1889.310518
3.982069823	1881
3.991	1881
3.991	1873.224378
4.029279755	1870
4.042	1861
4.083	1859.399746
4.104087053	1854
4.123504118	1849
4.153	1849
4.15414744	1842
4.198	1842
4.244	1834
4.288717661	1825.422237
4.316	1823.616117
4.323857349	1819
4.36	1816.57848
4.390808176	1815
4.401	1815
4.442692318	1810
4.458674362	1806
4.491	1803.941417
4.53	1803
4.545765762	1801
4.562	1801
4.562	1798.650882
4.594684351	1797
4.612	1797
4.639675284	1794
4.675891175	1792
4.685	1788
4.726	1788
4.735190486	1785
4.777	1784.011386
4.806634875	1783
4.819	1781
4.858	1779.622544
4.89	1779
4.89	1779
4.893748755	1777
4.937	1775.823296
4.974	1775
4.974	1775
4.974	1774.641069
4.978467735	1773
5.032616337	1772
5.052	1770.999848
5.083323362	1769
5.101	1768
5.136	1768
5.146146657	1765
5.192	1764.55455
5.228473056	1764
5.243419443	1762
5.269346426	1762
5.298	1762
5.330123144	1759
5.347	1759
5.39	1759
5.391512983	1756
5.450969249	1756
5.46	1755.1268
5.503	1755
5.503	1755
5.533393887	1753
5.553	1753
5.553	1752.496386
5.578369005	1752
5.629414658	1751
5.633960539	1749
5.667	1748.405923
5.697794875	1748
5.708	1748
5.755342218	1747
5.782175046	1746
5.789	1745
5.837	1744.873726
5.865627673	1744
5.87	1744
5.923637342	1743
5.925	1741
5.97	1741
5.993	1740.599729
6.031889032	1740
6.033	1740
6.033	1740
6.077	1740
6.104419967	1738
6.147011623	1737
6.157	1736
6.196	1736
6.212906729	1736
6.239	1736
6.240367944	1735
6.289	1734.712427
6.311552957	1734
6.3394827	1733
6.369	1733
6.402	1733
6.402	1732
6.441	1732
6.441	1731.870234
6.501982063	1730.658845
6.526	1730
6.545111019	1730
6.573	1729
6.612	1728.540641
6.647	1728
6.647	1727
6.702	1727
6.727000871	1727
6.751729613	1727
6.768	1727
6.812	1726
6.821457727	1725
6.852	1725
6.852	1725
6.870872558	1723
6.931	1723
6.936740564	1723
6.975	1723
7.015	1723
7.015	1723
7.016432747	1722
7.071	1721.81963
7.096862209	1721
7.136513059	1720
7.137	1720
7.18	1720
7.18	1720
7.228745195	1719
7.257362523	1718
7.269	1718
7.288037582	1717
7.339	1717
7.339	1717
7.377542022	1716
7.423487161	1715
7.428	1714
7.47	1714
7.504	1714
7.505416465	1714
7.559	1713.075232
7.587	1713
7.597986921	1713
7.644	1713
7.675	1712.507768
7.708129926	1712
7.709	1711.35889
7.747009965	1711
7.748	1711
7.761735185	1711
7.816797253	1711
7.83	1710.309035
7.88	1710
7.901109955	1709
7.912	1709
7.912	1708.070946
7.961	1708
7.997186714	1707
8.035474195	1707
8.053082786	1707
8.078	1707
8.117	1707
8.165	1706
8.184386052	1705
8.210589581	1704
8.24	1704
8.259909126	1704
8.29	1704
8.33	1704
8.354674013	1704
8.379	1703.119868
8.419	1703
8.446	1703
8.481952739	1702
8.485	1702
8.529174049	1702
8.536	1701
8.582	1701
8.616	1700.811983
8.644729615	1700
8.649	1700
8.691466541	1700
8.695	1699
8.739	1699
8.766664464	1698
8.801271617	1698
8.811	1698
8.811	1698
8.868	1698
8.874224059	1698
8.903	1697.323503
8.943	1697
8.943	1695.594572
8.962125292	1695
9.009	1695
9.060916032	1695
9.07	1694.026633
9.106	1694
9.137	1694
9.175258543	1694
9.181	1694
9.205233663	1693
9.225	1692
9.261	1692
9.261	1692
9.266277056	1691
9.328	1691
9.353	1691
9.382	1691
9.389867076	1691
9.426	1690.344391
9.462942509	1690
9.466	1690
9.509163478	1689
9.54334514	1688
9.562376386	1688
9.587	1687.600671
9.619098755	1687
9.629	1687
9.660030478	1688
9.69132791	1687
9.712	1687
9.752	1687
9.791231023	1685
9.804287519	1685
9.833	1685
9.874800846	1685
9.906309558	1684
9.914	1684
9.954	1684
10.00554662	1683
10.02790182	1683
10.04	1683
10.04	1682
10.09	1682
10.12	1682
10.13793924	1682
10.16	1681.181309
10.2	1681
10.2	1681
10.20815686	1680
10.26464665	1680
10.28	1680
10.28648502	1678
10.33	1678
10.36484317	1678
10.37	1678
10.37891334	1677
10.42	1677
10.45	1677
10.47173487	1677
10.49	1676
10.53	1676
10.53	1676
10.53127706	1676
10.58	1675.769426
10.60369139	1675
10.62	1673
10.65	1673
10.68890141	1673
10.69	1673
10.70180387	1672
10.74	1672
10.77680926	1672
10.78	1672
10.83	1671.820726
10.86	1671
10.86	1671
10.89889891	1671
10.905158	1670
10.94	1670
10.94	1669.769836
10.9514954	1669
10.99	1669
11.03	1669
11.04332943	1668
11.07	1668
