Desplaz. [mm]	Fuerza [N]
0	0
5.52494E-05	0.7629
0.00008392	0.7629
0.00106603	0.7629
0.005371	0.7629
0.04129	12.65245208
0.054219414	28.99
0.06739	57.22
0.1044	57.22
0.1044	91.55
0.1435	91.55
0.16513486	133.5
0.1921	164
0.2304	164
0.238722814	202.9
0.2759	202.9
0.293548636	237.3
0.3153	261.6515013
0.3543	275.6990626
0.381249106	296.8
0.3871	296.8
0.412063407	331.1
0.4313	331.1
0.463199813	363.9
0.4762	389.9614878
0.522882555	398.3
0.5241	398.3
0.5241	435.6049987
0.571760761	438.7
0.5824	464.207178
0.611901938	481.354495
0.6437	500.1073306
0.6819	512.486367
0.707447972	528.7
0.7139	528.7
0.7139	560.6273012
0.759563749	563.8
0.771124485	589
0.8103	589
0.8103	614.7243439
0.853646075	625.9050612
0.8765	633.161099
0.895861656	658.4
0.9206	675.7791828
0.9598	682.8
0.9598	682.8
0.9598	719.5
1.018	726.0217771
1.044755653	737.8
1.04986204	760.7
1.084	760.7
1.084	765.960697
1.107505969	783.5
1.123	808.0536261
1.167	808.7
1.167	811.1526275
1.218655333	841.2724113
1.240197935	859.1
1.251	859.1
1.284697521	885.8
1.295	909.4
1.335	915.539677
1.360401321	930.8
1.374	930.8
1.416	955.2
1.432903194	975.8
1.45	975.8
1.488696744	1001
1.492	1001
1.493185785	1026
1.539	1026
1.540334374	1054
1.596187992	1067
1.613	1072.19633
1.629813418	1096
1.662	1114.487785
1.695	1116
1.695	1142
1.741761734	1142
1.743	1168
1.792	1168
1.792	1168
1.809236088	1208
1.867	1211
1.902886116	1239
1.922	1255.540947
1.956	1258
1.956	1281
2.007757839	1285.583165
2.02	1293.851692
2.046536604	1301
2.064	1306.240156
2.106	1307
