Desplaz. [mm]	Fuerza [N]
0	0
0.01028504	0.098639974
0.09147539	0.822335186
0.237303258	1.526
0.2487	1.526
0.2487	2.63552637
0.571654783	3.052
0.6204	6.104
1.032	6.104
1.264146815	8.392
1.479073462	9.918
1.761	11.28185102
2.152	12.21
2.33906627	14.5
2.625	14.5
2.855685678	16.78
3.042	18.38488144
3.458	19.18793059
3.69582716	20.6
3.802	20.6
3.802	22.13
4.209	22.13
4.209	25.18
4.691	25.18
4.973404311	26.7
5.251995695	28.23
5.436	28.23
5.436	29.70901522
5.851	29.83038547
5.924579439	32.81
6.269	32.81
6.269	34.33
6.758	34.60699302
7.018383308	35.86
7.061	35.86
7.061	39.67
7.559	40.18517738
7.936	41.2
8.055801235	43.49
8.294	43.49
8.294	44.81377104
8.785	45.01
9.03405438	46.54
9.111	46.54
9.122716881	48.83
9.57	49.11855031
9.902057865	49.59
9.911	49.59
9.911	51.88
10.48	53.21227116
10.75	53.8461207
10.970659	54.93
11.15	54.93
11.39134615	57.22
11.55	57.22
11.97880045	58.75
11.99	58.75
12.26893639	61.04
12.58055771	62.56
12.86	63.32191935
13.19130565	64.09
13.2	64.09
13.47633968	66.38
13.68501012	67.9
14.01	67.9
14.27398753	70.19
14.81	70.95
14.861831	71.72
15.22	72.16233985
15.47866827	73.24
15.66	75.53
16.07	75.66552925
16.32569539	76.29
16.46	76.29
16.49153327	77.82
16.87	77.82
16.87	79.3276688
17.26151953	80.11
17.43376573	80.87
17.71	80.87
17.71	80.87
18.17872569	83.42188727
18.51	84.4429176
18.75135959	85.45
18.99	85.64486562
18.99	86.98
19.58	87.31406894
19.88	87.95503043
20.13	88.5
20.34144204	89.26
20.55	90.25908377
20.93573512	90.79
21.02	92.32
21.44	92.32
21.73250901	92.32
21.78	92.32
22.14187454	93.84
22.19	93.84
22.548092	94.6
22.66	96.13
23.07	96.38896743
23.37062298	96.89
23.4	96.89
23.72965531	98.42
23.8607116	99.18
24.22	99.18
24.30758225	100.7
24.69	101.1776372
25.03438616	101.5
25.11	101.5
25.46494753	102.2
25.66975666	103
25.94	103.6545842
26.28	103.8
26.28	103.8
26.36141794	104.5
26.73	104.9826103
27.1	105.3
27.43568971	106.8
27.83948464	107.6
27.88	108.2107679
28.37	108.3
28.51513731	109.1
28.7	109.1
28.7	109.4923143
28.90206669	109.9
29.21	110.6
29.54	111.0810095
29.84581828	112.2
29.94	112.2
30.13246855	113.7
30.43	114.3825516
30.78	114.4
31.14718012	115.2
31.45732052	115.2
31.56	115.2
31.65122936	116
32.05	116.5300573
32.45	116.7
32.45	116.7
32.74429462	117.5
32.9	118.3
33.29	118.3901385
33.53969938	119
33.67	119
34.01	119
34.01	119
