Desplaz. [mm]	Fuerza [N]
0	0
4.22246E-05	0
0.00008392	0
0.029830118	11.93651628
0.0449	21.37416827
0.060470472	38.91
0.090491883	54.17
0.1107	71.53821782
0.15227708	80.87
0.158791843	103
0.1912	103
0.1912	133.5
0.2435	143.0491547
0.275065502	152.6
0.283107023	174
0.3145	174
0.3145	181.1075793
0.333949371	203.7
0.3658	224.1418109
0.403445791	227.4
0.426725161	243.4
0.4361	243.4
0.457722248	267
0.4795	267
0.495204821	293.7
0.5267	309.7086828
0.5604	311.8983009
0.574653918	333.4
0.6027	333.4
0.639080732	375.4
0.700862712	385.3
0.726596671	399.8
0.749593927	415
0.7628	428.8661864
0.788645108	443.3
0.83657309	455.5
0.8454	475.3
0.8887	483.4282615
0.923070064	493.6
0.9263	493.6
0.937094919	518.8
0.9852	532.2694948
1.007134532	539.4
1.035	539.4
1.072208736	561.5
1.084	571.4
1.088490042	571.4
1.109	572.0194606
1.14684523	595.6189793
1.171	599.3561034
1.171	618
1.231	618
1.255815698	634
1.29214286	641.6
1.296	641.6
1.326693726	666.2085581
1.376	672.6143989
1.401589107	680.5
1.416	693.5
1.458	693.5
1.458	695.2799501
1.47479388	707.2
1.509	713.228981
1.537173752	722.5
1.568784239	730.1
1.583	740.5673311
1.622	741.6
1.622	741.6
1.628247061	762.2
1.703	763.7
1.704147466	777.4
1.75	781.8394683
1.786	786.6
1.79099193	798.8
1.825	804.1717226
1.861969624	809.5
1.868	809.5
1.89221749	823.2
1.917	831.8571395
1.960961112	835.4
1.980567135	841.5
1.991	841.5
2.006153551	854.5
2.04	854.5
2.065016721	868.2
2.108603174	874.3
2.119	883.3668133
2.159	884.4614735
2.170189678	894.2
2.199	901.8731951
2.233	902.6
2.233	909.9866634
2.271019167	911.7
2.277	911.7
2.290570212	921.6
2.318	921.6
2.339685561	935.4
2.382	940.9069973
2.421698828	945.3014766
2.438	946.8
2.441862304	956.7
2.488	960.7572151
2.52	963.6
2.52	964.8514698
2.539912277	970.5
2.56	970.5
2.56	976.9153444
2.603979997	979.6
2.608	979.6
2.608	990.3
2.667	990.3
2.702367045	998.7
2.717	810.2
2.763948755	615.5621667
2.772	585.2
