Desplaz. [mm]	Fuerza [N]
0	0
4.18288E-05	0.7629
0.00008392	0.7629
0.00008392	1.307650677
0.093064789	1.463256222
0.2495	0.7629
0.419428443	1.526
0.5053	2.289
0.8924	2.289
0.8924	2.289
1.343688592	3.052
1.413	3.815
1.859	3.815
2.166781328	3.815
2.244565378	4.578
2.552	4.578
2.552	4.989795221
2.948147147	5.341
2.959	6.104
3.393	6.104
3.622137996	6.104
3.816806497	6.866
4.112	6.866
4.465399722	6.866
4.637364058	7.629
4.953	7.629
4.953	8.392
5.664	8.890776725
5.852	9.155
6.171	9.155
6.264850833	9.918
6.563	9.918
6.881375732	9.918
7.169591616	9.918
7.388	9.918
7.4055625	10.68
7.956393787	11.42137963
8.197	11.44
8.197	11.44
8.354957173	11.44
8.743	11.44
9.096	11.74582426
9.290803028	12.21
9.495	11.46400762
9.83	11.44
10.1378183	12.21
10.26	12.21
10.26	12.21
10.67443115	12.21
10.94074427	12.21
11.07	12.79499399
11.46	12.97
11.8039805	12.97
11.91	13.71059932
12.37	13.73
12.51180057	13.73
12.90492885	14.5
13.1	14.5
13.6	14.5
13.63440419	14.5
14.01	14.5
14.32960306	14.5
14.4	14.5
14.4	15.0835663
14.82212368	15.26
15.05898192	15.26
15.25849243	15.26
15.55	15.26
15.6131124	15.26
16.02	15.26
16.02	15.26
16.51	15.52233541
16.79521189	16.02
16.97643927	16.02
17.25	16.02
17.33230153	16.78
17.69	16.78
18.03	16.78
18.52046277	17.55
18.83	17.55
18.83	17.55
19.31	17.55
19.58820566	17.55
19.65	17.55
19.65	17.73723309
20.2	18.31
20.45269271	18.31
20.46	18.31
20.92789358	18.31
21.11031321	18.31
21.28	18.31
21.28	18.73203469
21.5944176	19.07
21.75	19.07
22.01297991	19.07
22.18	19.07
22.6	19.07
22.84293115	19.07
22.97	19.84
23.34	19.84
23.75840199	20.6
23.82	20.6
24.21910191	19.84
24.53	20.08027584
24.74975481	20.6
24.98	21.1430085
25.34429282	21.36
25.5	21.36
25.87	21.36
26.17198174	21.36
26.18	21.36
26.45660613	22.13
26.64	22.13
27	22.13
27.40585497	22.13
27.87	22.13
27.92612941	22.13
28.54	22.35470457
28.76913956	22.89
29.06	22.89
29.19843591	22.89
29.46	22.89
29.70006452	22.89
29.94	24.13915026
30.35	24.41
30.50022652	24.41
30.74	24.41
30.74	24.41
31.18	24.41
31.34630236	25.18
31.55	25.18
31.93639121	25.18
32.01651516	25.18
32.32	25.18
32.32	25.18
32.73553066	25.18
32.77	25.18
33.20656885	25.18
33.46838549	25.94
33.78758815	25.94
33.94	25.94
34.34	25.94
34.34	25.94
34.38661736	26.7
34.89	26.7
35.17	26.7
35.40361016	26.7
35.59	26.7
36.01419447	26.7
36.13370674	27.47
36.41	27.47
36.41	28.09455561
36.86030696	28.23
36.9	28.23
37.13842036	28.23
37.55970581	28.23
37.6	28.23
37.74775717	28.23
38.09	28.23
38.37628209	28.99
38.61	28.99
38.99	28.99
39.24152679	28.99
39.26240309	28.99
39.68	28.99
39.68	28.99
40.15	29.75
40.51153011	29.75
40.70159459	29.75
40.9	29.75
40.9	30.30185415
41.28789437	30.52
41.3701285	30.52
41.7	30.52
42.21627688	31.28
42.26	31.28
42.66	31.28
42.92701859	31.28
42.95	31.28
43.4	31.28
43.62693145	32.04
43.91	32.04
44.4018403	32.04
44.57	32.38794929
44.89805686	32.81
44.97	32.81
45.39	32.81
45.39	32.81
45.70264701	32.81
45.86	32.81
46.21744941	32.81
46.51651808	33.57
46.6	33.57
46.76306479	34.33
47.08	35.1
47.44	35.1
47.44	34.34992516
47.89132381	34.33
47.93	35.1
48.4	35.1
48.6781314	35.1
48.72	35.1
48.74937321	35.86
49.08	35.86
49.08	36.69173267
49.3791323	37.38
49.57	37.38
49.95	37.38
50.11103467	38.15
50.36	38.15
50.68	38.15
51.11364185	38.15
51.16087759	38.91
51.53	38.91
51.9956681	39.67
52.30449494	39.67
52.31	39.67
52.75	39.93174934
53.04678749	40.44
53.14	40.44
53.14	40.44
53.512552	41.2
53.94580696	41.2
53.95	41.2
54.47	41.2
54.71518285	41.2
54.77	41.2
55.23044562	41.96
55.27	41.96
55.73	41.96
56.02	41.96
56.02	43.49
56.48	43.49
56.55949967	42.72
56.9	43.34218968
57.25	43.49
57.63307515	44.25
57.77542752	44.25
58.04	44.25
58.04	44.25
58.5242756	44.25
58.76551319	44.25
58.85	44.25
59.0810488	45.78
59.43	45.78
59.86	45.78
60.1424138	45.78
60.31062957	46.54
60.48	46.54
60.94106896	46.54
61.11380464	46.54
61.32	46.54
61.63502404	47.3
62.04959676	48.07
62.13	48.07
62.56	48.07
62.7946747	48.07
63.03	48.07
63.03	48.372826
63.22070092	48.83
63.73642113	48.83
63.74	49.59
64.19	49.59
64.51419689	49.59
64.72	50.35
65.13	50.35
65.39	50.35
65.82	50.35
65.87253737	51.12
66.21	51.12
66.45795308	51.88
66.77840419	51.88
67.05	51.88
67.19109979	51.88
67.67686244	52.64
67.85	52.64
67.9151137	53.41
68.33	53.41
68.68501361	53.41
68.77	53.59226999
69.02420612	54.17
69.21923765	54.17
69.48	54.17
69.52372803	54.17
69.98	54.17
70.32	54.17
70.32	54.17
70.92918753	54.93
71.21	54.95327913
71.43815441	55.69
71.53	55.69
71.93	55.69
72.59	56.46
72.75	56.56383488
72.93308033	57.22
73.16	57.95979069
73.58	57.98
73.93682655	57.98
74.21334898	57.98
74.38	58.57117855
74.83447922	58.75
74.87761696	59.51
75.21	59.51
75.21	59.51
75.71	59.8079004
76.01757619	60.27
76.20846513	60.27
76.44	60.27
76.73400098	60.27
76.85	60.27
77.092504	61.04
77.33	61.74130567
77.75	61.8
77.9084849	61.8
78.21671206	62.56
78.46	62.56
78.46	62.56
78.88	62.56
78.88	63.29937596
79.36	63.32
79.41383934	63.32
79.76	63.32
80.1	63.32
80.1	63.62564226
80.44491376	64.09
80.52	64.85
80.92	64.85
80.92	65.19227431
81.14363533	65.61
81.49	65.61
