Desplaz. [mm]	Fuerza [N]
0	0
6.30849E-05	0
0.00008392	0
0.00008392	0
0.00008392	7.629
0.028152285	9.856181032
0.02904	34.33
0.07259	34.33
0.092727504	48.83
0.1036	48.83
0.1036	53.2811063
0.120412486	60.27
0.1525	62.90220499
0.184	63.32
0.229783309	64.09
0.247764324	64.85
0.2654	75.43524638
0.3055	78.58
0.3055	78.58
0.331993097	107.6
0.3495	138.9
0.3937	138.9
0.3937	138.9
0.439650156	183.1
0.46078821	209.8
0.478697266	235.7
0.5096	235.7
0.5096	252.0752553
0.537381449	269.3
0.5514	269.3
0.5514	299.275205
0.583578992	311.3
0.608695162	341
0.642	364.8096126
0.6754	368.5
0.6754	378.3327121
0.703033286	402.8
0.7172	434.9
0.7572	434.9
0.7572	434.9
0.7572	485.2
0.82	493.3615034
0.8356	519.2138926
0.8773	532.5
0.926927906	576
0.9345	610.4
0.9787	610.4
0.988207755	640.1
1.025690411	658.4
1.041	658.4
1.04211202	692
1.084	696.1301114
1.106660052	723.3
1.125	723.3
1.168359261	761.4
1.190190286	783.5
1.205	783.5
1.205	813.3
1.246	813.3
1.270988744	848.4
1.296	875.1552665
1.335	883.098483
1.3636949	901
1.368	930
1.409	930
1.422816834	958.3
1.45	958.3
1.478634382	991.8
1.497	1024
1.542	1029.689228
1.572	1044
1.572	1044
1.581958257	1072
1.614	1083.84968
1.647936871	1099
1.653	1099
1.653	1131
1.702	1142.055761
1.732841191	1156
1.746474803	1180
1.776	1180
1.776	1208
1.818	1216.82727
1.844385944	1234
1.859	1234
1.863056313	1265
1.91	1280.059822
1.946	1286
1.948626475	1308
1.98	1308
1.98	1315.766641
2.001691622	1335
2.028	1354.309623
2.065	1360
2.065	1360
2.127347758	1401.56305
2.144	1409.027128
2.163867918	1432
2.188	1448.936149
2.225	1454
2.260026164	1485
2.278814023	1503
2.309	1514.235987
2.345813357	1526
2.349	1526
2.350315091	1555
2.4	1566.056026
2.437	1575
2.437	1575
2.47395783	1604
2.504740805	1618
2.511	1640
2.552	1640.576917
2.568315686	1662
2.594	1662
2.627550871	1694
2.665740845	1707
2.676	1724.951356
2.717	1729
2.724325943	1749
2.756	1749
2.757137989	1772
2.8	1781.432699
2.838987014	1791
2.84	1791
2.878279154	1815
2.897096845	1831
2.927	1837.358872
2.954512955	1853
2.969	1871
3.009	1871
3.009	1890
3.051	1897.040074
3.083	1904
3.089869863	1923
3.125	1923
3.173	1942
3.208948276	1961
3.229297953	1974
3.253	1986.631571
3.287	1987
3.321278111	2001
3.335	2013
3.372	2013
3.372	2013
3.433377251	2026.396957
3.451	2027
3.471016453	2029
3.495	2027
3.532	2027
3.532	2027
3.545868452	2020
3.59	2013.921278
3.615	2009.772115
3.641404658	2002
3.656	2002
3.656	1993.215892
3.684315982	1987
3.707	1977
3.744	1977
3.744	1975.773267
3.748152172	1961
3.797769619	1955.264648
3.819	1947.390242
3.845762244	1942
3.859	1930
3.901	1930
3.901	1930
3.941175939	1917
3.973329814	1910
3.982	1901.85362
4.024	1900
4.029315386	1891
4.064	1891
4.107	1884
4.107	1875
4.15527123	1875
4.176690724	1869
4.187	1869
4.187	1863
4.227	1863
4.251852961	1856
4.277	1853.339039
4.289376042	1850
4.337145631	1847
4.349	1847
4.349	1844.261873
4.404106359	1840
4.409	1834.775067
4.439425357	1833.815913
4.472	1831.495831
4.49360381	1830
4.516	1826.108193
4.555	1826
4.555	1823.567564
4.576257418	1822
4.609	1820.154428
4.644	1820
4.660409563	1817
4.685	1817
4.685	1815.601551
4.705279538	1813
4.745542752	1811
4.758	1809.264092
4.8	1809
4.85	1807
4.851077308	1804
4.892	1803.319016
4.924116343	1802
4.941850948	1801
4.962	1801
4.965399246	1799
5.006	1799
5.009747404	1795
5.055	1794.002356
5.090613009	1793
5.096958378	1792
5.133	1792
5.133	1790.918951
5.17082436	1790
5.174	1788
5.214	1788
5.214	1787.658751
5.243697983	1787
5.259	1787
5.259	1786.282889
5.293420083	1785.868961
5.331	1785
5.334258701	1783
5.374	1782.428452
5.403493034	1781
5.419	1781
5.419	1780.33893
5.460040718	1780
5.483518683	1778
5.493	1778
5.535	1778
5.544394351	1777
5.585	1775.683019
5.625	1775
5.640633695	1775
5.664	1773.051334
5.698	1773
5.698	1772.764868
5.714120382	1772
5.738	1771.08757
5.78	1771
5.78	1771
5.798320992	1769
5.854491363	1768
5.862	1768
5.904	1768
5.913319666	1767
5.943	1767
5.971277825	1766
5.994	1765.189101
6.034199374	1765
6.064083123	1765
6.073	1765
6.098176323	1763
6.115897153	1762
6.149	1762
6.166069994	1762
6.212179541	1761
6.229	1760.227211
6.27	1760
6.27	1760
6.283438724	1759
6.333245175	1758
6.351	1758
6.351	1757.562538
6.36294682	1757
6.419483411	1756
6.433	1756
6.474	1755.949198
6.492111013	1754
6.515	1754
6.515	1754
6.527552941	1754
6.567	1753.231766
6.606	1752.919919
6.632159933	1752
6.639	1752
6.681315462	1752
6.685942251	1751
6.722	1751
6.722	1750.126822
6.759006013	1750
6.78738787	1749
6.811	1749
6.844	1749
6.844	1749
6.86494768	1749
6.891	1748
6.931	1747.812681
6.95936692	1747
6.966	1747
6.973445478	1747
7.006	1746.508024
7.046	1746
7.088284902	1745
7.105	1744
7.144	1743.45875
7.171	1743
7.197631896	1743
7.209	1743
7.251	1743
7.251	1742.35098
7.293	1742
7.318696168	1742
