Desplaz. [mm]	Fuerza [N]
0	0
0.000144861	0.7629
0.0001678	0.7629
0.01402	0.7629
0.03533	0.7629
0.03533	0.7629
0.04621097	0.7629
0.07419	0.7629
0.1099	0.7629
0.1099	1.301305035
0.148092947	1.526
0.163169483	1.526
0.1856	1.526
0.203527532	1.526
0.2311	1.526
0.269744655	1.526
0.2712	1.526
0.288971634	1.526
0.312	1.526
0.312	2.289
0.3552	2.289
0.368500873	2.289
0.3954	2.289
0.405536579	1.526
0.4394	1.627350301
0.448736546	2.289
0.4923	2.289
0.521	2.289
0.530068511	2.289
0.5596	2.289
0.5938	2.289
0.605342321	3.052
0.6437	3.052
0.675922783	3.052
0.696269284	3.052
0.7165	3.052
0.7165	3.052
0.76152439	3.052
0.775775974	3.815
0.8022	3.815
0.8022	3.815
0.861	3.815
0.879	3.815
0.907940486	3.815
0.9206	4.578
0.9623	4.578
0.9623	4.578
1.010399392	4.578
1.036874221	4.578
1.051867815	4.578
1.084	4.578
1.104952378	4.578
1.126	4.578
1.166	4.578
1.166	4.578
1.210282984	5.341
1.247	5.341
1.250248433	5.341
1.289	5.341
1.337523689	4.578
1.35690474	5.341
1.376	5.341
1.415	5.341
1.432130656	5.341
1.453	5.341
1.453	5.960405569
1.492	6.104
1.497300575	5.341
1.533	5.341
1.533	5.341
1.587	5.341
1.619	5.341
1.640596066	5.341
1.662	5.341
1.703	5.341
1.746262244	6.104
1.753	6.104
1.799	6.104
1.819	6.104
1.826465103	6.104
1.861	6.104
1.866275238	6.866
1.902	6.688869161
1.90851283	6.104
1.951	6.104
1.983	6.104
2.024	6.866
2.058574931	6.866
2.064	6.866
2.091327066	6.866
2.109	6.866
2.109	7.368115682
2.136038241	7.629
2.177531849	7.629
2.186	7.629
2.228	7.629
2.228	7.629
2.234390083	7.629
2.278	7.972338101
2.306346736	8.392
2.33040283	7.629
2.351	7.629
2.351	7.92780788
2.369324253	8.392
2.399	8.392
2.438651756	8.392
2.453054386	8.392
2.479	8.392
2.529	9.155
2.550110104	9.155
2.555	8.392
2.596	8.392
2.607707836	9.155
2.637	9.155
2.637	9.155
2.682112785	8.392
2.715448683	9.155
2.725991525	9.155
2.764	9.155
2.790127903	9.155
2.804	9.155
2.804	9.5727284
2.841729696	9.918
2.848	9.918
2.895	9.918
2.921899273	9.918
2.936799996	9.918
2.963	9.918
2.983325879	9.918
3.004	9.918
3.004	9.918
3.031507335	10.68
3.082107403	10.68
3.09	9.945668965
3.134	9.918
3.153702518	10.68
3.167	10.68
3.199622019	11.44
3.217	10.79146946
3.253608396	10.68
3.288260657	10.68
3.29	11.44
3.332	11.44
3.372	11.44
3.415694401	11.44
3.417	11.44
3.459	11.44
3.472909883	11.44
3.495	11.44
3.535	11.44
3.559754906	12.21
3.58	12.21
3.612321854	12.21
3.626	11.44
3.662	11.44
3.665304032	12.21
3.704	12.21
3.730740689	12.21
3.74	12.21
3.750696415	12.21
3.826855264	12.21
3.827	12.7353273
3.832132378	12.97
3.897599729	12.97
3.912	12.97
3.948	12.97
3.948	12.97
3.998	12.97
4.019240441	12.97
4.026	12.97
4.071	12.97
4.08315893	12.97
4.107	12.97
4.153543329	12.97
4.155	12.97
4.19889244	12.97
4.218633907	12.97
4.234	12.97
4.237765386	13.73
4.283	13.73
4.3107507	13.73
4.317	13.73
4.358	13.73
4.392982365	13.73
4.399	13.73
4.438	13.90902588
4.454516258	14.5
4.475	14.5
4.502103301	13.73
4.52	13.73
4.52	14.5
4.560169279	14.5
4.580166736	14.5
4.604	14.5
4.639	14.5
4.672315482	14.5
4.683	14.5
4.724	14.5
4.724	14.5
4.728571816	15.26
4.790638634	15.26
4.801	15.26
4.841558049	15.26
4.846	15.26
4.883	15.26
4.931309127	15.26
4.953328423	15.26
4.965	15.26
5.004793745	15.26
5.006	15.26
5.032757949	15.26
5.054	15.91546773
5.095	16.02
5.095	16.02
5.120555652	16.02
5.166651905	16.02
5.168	16.02
5.211	16.02
5.211	16.08031516
5.217641446	16.78
5.263	16.78
5.296798699	16.78
5.3	16.78
5.3	16.78
5.347240769	16.53100135
5.372	16.02
5.381525169	16.02
5.414	16.48017314
5.447274373	16.78
5.456	16.78
5.456	16.78
5.456	16.95781573
5.508127992	17.55
5.540183238	17.55
5.559957413	16.78
5.577	17.48966114
5.619	17.55
5.646765346	17.55
5.677366662	17.55
5.705	17.55
5.738912583	17.55
5.742	17.55
5.774809934	17.55
5.796	17.55
5.83	17.55
5.910662206	18.31
5.911	18.31
5.955610616	18.31
5.973101777	19.07
5.986	19.07
6.028	19.07
6.028	19.07
6.028	18.93301993
6.029733358	18.31
6.09060357	18.31
6.114	18.31
6.15	18.31
6.197	19.07
6.197	19.07
6.24	19.07
6.24	19.07
6.24	19.07
6.276450891	19.07
6.315597529	19.07
6.335569179	19.07
6.355	19.07
6.4	19.07
6.404913672	19.84
6.474352244	19.84
6.476	19.84
6.522	19.84
6.555783755	19.84
6.559	19.84
6.559	19.84
6.579086888	19.84
6.619	19.84
6.657	19.84
6.681	19.84
6.692360644	20.6
6.73	20.6
6.769694911	20.6
6.776274074	20.6
6.812	20.6
6.844	20.6
6.844	20.73404531
6.862203932	21.36
6.89	20.6
6.93	20.6
6.96883485	21.36
6.975	21.36
6.993037924	21.36
7.043500413	21.36
7.047	21.36
7.094	21.36
7.102343405	21.36
7.13	21.36
7.13	21.36
7.13494304	21.36
7.194442565	21.36
7.212	21.36
7.237498786	21.36
7.258	21.36
7.293	21.36
7.293	21.36
7.293	21.36
7.342	21.36
7.373839983	21.36
7.379	22.13
7.417	22.13
7.417	22.13
7.442844145	22.13
7.465	22.13
7.504	22.13
7.504	22.13
7.518607278	22.13
7.555	22.13
7.6	22.13
7.6228336	22.89
7.624	22.8305425
7.650385594	22.13
