Desplaz. [mm]	Fuerza [N]
0	0
7.53458E-05	0
0.0001678	1.485197774
0.0188	2.792665957
0.033738041	6.866
0.056116338	16.78
0.06739	16.78
0.06739	38.15
0.123445181	39.69054625
0.1443	46.54
0.156651138	51.12
0.1864	54.86579313
0.2263	55.69
0.232826852	74.01
0.2761	79.93780536
0.308777152	89.26
0.331909446	102.2
0.3495	102.2
0.386420422	116.7
0.3896	127.4
0.4312	127.4
0.446659145	138.1
0.4763	144.556642
0.5129	148
0.5129	149.948459
0.532776735	158.7
0.5531	158.7
0.58343657	170.1
0.5995	182.7540878
0.6428	185.2934351
0.6762	192.3
0.709689012	202.9
0.7172	215.1
0.754090947	215.1
0.7579	215.1
0.807306293	235.2977636
0.852	237.3
0.899921508	248.8411088
0.927397659	254.1
0.939309746	260.2
0.9623	263.9859682
0.99326447	267
1.01	270.9938226
1.051	272.0783468
1.077150562	275.4
1.085	275.4
1.094401799	279.2
1.125	279.2
1.178	284.6
1.192542839	286.9
1.215	289.9
1.251	289.9
1.259743756	292.2
1.288	292.2
1.288	294.7215269
1.334	295.3
1.340647612	298.3
1.371	298.3
1.414536341	302.9
1.440499405	306.7
1.464728011	309.8
1.493	309.8
1.527728401	314.3
1.533	314.3
1.542761481	317.4
1.587	317.4
1.642268493	318.6666703
1.662	317.8963433
1.696027653	317.4
1.697	318.9
1.742	318.9
1.742	322
1.795	323.5657892
1.819	324.5439703
1.819	328.8
1.866	329.2310699
1.901	329.6
1.943674643	330.4
1.951022978	330.4
1.989	330.8411405
2.019795507	331.9
2.024	331.9
2.024	334.9
2.068	335.6364589
2.088606925	338
2.106	338
2.119414585	341
2.162	342.6
2.187	343.5720769
2.220446566	344.8
2.228	345.6
2.269	345.6
2.275323007	347.9
2.318	348.5421108
2.32502785	351.7
2.373	353.3076836
2.4	354.7989754
2.431182571	356.3
2.432	356.3
2.436626708	357.8
2.49	358.2414754
2.527	358.6
2.548599652	360.1
2.56	360.1
2.568620076	361.6
2.626	361.7173062
2.669561153	366.2
2.689	368.7351844
2.727	369.5332328
2.749619066	372.3
2.763	372.3
2.763	375.4805697
2.793682963	377.7
2.814259458	382.2
2.841	383.1925585
2.859455824	387.6
2.894	391.6020068
2.923	393.9925941
2.95181481	396.7
2.964	396.7
2.982029433	402.1
3.017	405.1
3.045	405.1
3.056757773	409.7
3.120045992	412
3.126	416.2389938
3.167	416.6
3.173376885	423.4
3.216	428.0445076
3.252556884	431.1
3.277960002	437.2
3.291	437.2
3.324539651	447.1
3.338	454.7
3.376	458.3596853
3.409510782	463.1
3.417	463.1
3.435309781	471.5
3.454	471.5
3.454	480.704569
3.503	482.9
3.510468638	491.3
3.543	499.4721487
3.58	499.7
3.598312873	515
3.633	523.2047467
3.674	527.4608604
3.696080092	531
3.698	531
3.698	540.9984668
3.739342253	543.2
3.752	553.9
3.793	555.0900903
3.816636445	563
3.829	571.4
3.863	571.4
3.863	572.1652303
3.874585886	581.4
3.904	581.4
3.904	596.6
3.953853956	597.0764374
3.984	602.7
3.984	619.5
4.045670936	620.0043308
4.067	624.1185522
4.080587545	634
4.107	638.8178827
4.125006474	646.2
4.154	654.0777271
4.197	656.9
4.197	664.9936188
4.235	669.8735613
4.26051092	676.7
4.271	676.7
4.300314291	688.2
4.312	688.2
4.334144997	701.1
4.361	708.9026579
4.387522063	714.1
4.418179357	721.7
4.44	730.6480404
4.475	730.9
4.506258962	743.1
4.519	743.4143221
4.520182882	755.3
4.565	755.3
4.565	761.8143887
4.587322416	769.8
4.636614887	774.4
4.637	785.8
4.679	785.8
4.70555398	798
4.727	798
4.744359053	813.3
4.789593371	820.2
4.814	825.9415863
4.847	829.5550346
4.866929443	839.2
4.887	839.2
4.905264397	854.5
4.94	862.6896585
4.981	866.697727
5.005	871.3
5.058578765	884.2
5.069496087	894.2
5.092	899.8548602
5.113956905	905.6
5.142	914.8
5.175	919.6878901
5.21	923.9
5.251329898	934.6
5.255	934.6
5.28213214	946
5.304	946
5.330484909	960.7785441
5.372	964.4
5.373174679	975
5.419	979.5903669
5.452700744	984.2
5.456	984.2
5.460163834	997.9
5.51	1003.657015
5.538	1008.635543
5.559699911	1015
5.578	1015
5.578	1025
5.622	1025
5.66064668	1040
5.693879984	1046
5.707946808	1054
5.742	1056.171877
5.766398485	1063
5.787	1072.227619
5.823	1073
5.823	1073
5.844691054	1085
5.878	1091.447748
5.912	1093.425329
5.93917772	1100
5.951	1100
5.951	1109.220102
5.992	1110
6.003801112	1118
6.033	1118
6.078417516	1130
6.108535997	1134
6.109	1134
6.146785156	1144
6.166408609	1152
6.196	1152
6.196	1153.160231
6.20002717	1161
6.247	1166.382914
6.277	1169.681978
6.304559316	1175
6.313	1183
6.355	1183
6.364702577	1192
6.407	1196.981246
6.444	1199
6.457028052	1206
6.482	1212
6.518	1212
6.518	1212
6.531390162	1219
6.564	1226.356344
6.604	1227
6.604	1227
6.61576386	1236
6.676536129	1239
6.68	1245
6.721	1245.15405
6.736130341	1251
6.766	1256.690592
6.803403841	1258
6.807	1258.649602
6.82807251	1263
6.85	1268
6.885	1268
6.926	1274
6.931845921	1279
6.971	1279
7.024	1286.079821
7.046159763	1289
7.059424807	1293
7.089	1293
7.097599859	1299
7.135	1299
7.149880533	1305
7.186	1305
7.213725409	1309
7.249340295	1312
7.258	1315
7.294	1317.051058
7.328847779	1319
7.334	1319
7.334	1324
7.395252749	1324.080298
7.416	1327
7.416	1330
7.462	1332.210434
7.498	1334
7.498	1334
7.524887952	1339
7.547	1341
7.583	1342.158625
7.61596146	1344
7.621	1344
7.653251594	1347
7.67	1350
7.715	1350
7.715	1350.971778
7.732990098	1354
7.766820703	1356
7.784	1357.617231
7.825	1358
7.825	1358.588272
7.85284369	1360
7.869	1363
7.912	1363
7.912	1366
7.972647321	1367.638769
7.995	1370.321298
8.028	1371
8.038537057	1373
8.073	1374.36772
8.109856709	1376
8.111	1376.290673
8.139364655	1377
8.158	1379
8.193	1379
8.193	1380.724311
8.237	1381
8.253134525	1382
8.278	1382
8.278	1384.922072
8.329471121	1385
