Desplaz. [mm]	Fuerza [N]
0	0
0.000205837	0
0.0002518	0.703959169
0.1261	0.7629
0.219015137	1.526
0.3677	2.289
0.671	2.289
0.8995	2.289
0.8995	2.289
0.99257415	2.289
1.294	2.289
1.294	2.918795267
1.741056317	3.052
1.753	3.109881431
1.918190558	3.815
2.226	4.265574399
2.541648128	4.578
2.894038393	4.578
2.952	4.578
2.952	5.341
3.375	5.341
3.626877978	5.341
3.768	5.341
3.768	5.341
3.943037093	6.104
4.485730625	6.104
4.545	6.104
4.545	6.686047669
4.925260877	6.866
5.082	6.866
5.485	6.866
5.57827704	7.629
5.89	7.629
5.973499289	8.392
6.388287879	8.392
6.595	8.392
6.595	8.978411146
7.078	9.155
7.078	9.918
7.541	9.918
7.895	9.918
8.101833839	9.918
8.269	9.918
8.319357375	9.918
8.67	9.918
8.845385467	10.68
9.118	10.68
9.512	10.68
9.512	10.68
9.968709222	11.44
10.07817342	11.44
10.39	11.44
10.7113779	11.44
10.72	11.44
10.72	11.44
11.15	11.44
11.61683511	12.21
11.63	12.50632648
11.82620291	12.97
12.07205208	12.21
12.31	12.21
12.42179683	12.97
12.78	12.97
12.8448111	12.97
13.28	13.30865845
13.57674832	13.73
13.76953759	13.73
14.02	13.73
14.31045312	14.5
14.4	14.5
14.4	14.5
14.85134723	14.5
14.89	14.5
15.29	14.5
15.61285673	14.5
15.70498949	14.5
15.99	14.5
16.02576588	14.5
16.45	14.98684432
16.84	15.26
16.84	16.02
17.45	15.56440637
17.62	15.48032601
17.93787044	16.02
18.07	16.02
18.49655652	15.26
18.56	15.96002767
18.97892101	16.02
19.2002	16.02
19.42529283	16.02
19.67	16.02
20.04380904	16.78
20.16	16.78
20.56	16.78
20.61923387	16.78
21.03	17.31931084
21.36	17.55
21.54944388	17.55
21.87673345	18.31
22.12	18.31
22.12	18.31
22.37287232	18.31
22.68	18.31
22.98858512	18.31
23.20548614	19.07
23.46	19.07
23.75	19.07
24.10967262	19.07
24.22	19.84
24.65	19.84
24.93588446	19.84
25.4209993	19.84
25.56539785	19.84
25.79	20.25072668
26.06040963	20.6
26.28	20.6
26.53072307	20.6
26.99677803	21.36
27.01	21.36
27.49	21.36
27.64330421	21.36
27.87	21.36
27.87	21.36
28.14451369	21.36
28.33	21.36
28.33	22.0316648
28.74506152	22.13
29.03270449	22.13
29.1	22.13
29.5	22.13
29.74879824	22.13
30	22.13
30.33541746	22.13
30.62925165	22.13
30.75	22.89
31.14	22.89
31.14	22.89
31.40954631	22.89
31.55	22.89
31.92689621	24.41
32.10552475	24.41
32.4	24.41
32.74	24.41
32.74	24.42990178
32.79703757	25.18
33.18	25.18
33.18	24.50740964
33.66724017	24.41
33.74575868	25.18
34.05	25.18
34.41	25.18
34.77911091	25.94
34.81	25.94
34.81	25.18
35.26	25.47225658
35.62833682	25.94
35.66	25.94
36.12781845	26.7
36.14	26.7
36.54	26.7
36.82694385	26.7
36.87	26.7
37.15911877	26.7
37.31	27.36976317
37.72	27.47
37.72	27.47
37.73221695	27.47
38.19	27.47
38.76435109	27.47
38.86	27.69621853
39.03097013	28.23
39.36	28.56592697
39.62514531	28.99
39.81	28.99
40.17	28.99
40.47364188	28.99
40.5	28.99
40.75384756	29.75
40.96	29.75
40.99862589	29.75
41.46	30.29539082
41.81	30.52
42.0203184	30.52
42.13	30.52
42.33506555	30.52
42.59	31.2209581
42.98	31.28
43.59	31.28
43.76	31.2994134
43.77123544	32.04
44.21	32.04
44.35547753	32.04
44.71	32.2667637
44.72459308	32.81
45.27	32.81
45.55	32.81
45.81	32.81
45.81	32.81
45.84329266	32.81
46.25	33.15201273
46.61594981	33.57
46.67	33.57
47.19	33.62861893
47.40255006	34.33
47.45	34.33
47.84299953	34.33
47.93	34.33
48.33	34.33
48.66898935	35.1
48.81	35.1
49.19771013	35.1
49.46353664	35.1
49.49	35.1
49.76151879	35.1
49.98958752	35.86
50.35	35.86
50.68460886	37.38
50.86	37.38
51.24	37.38
51.48388433	37.38
51.59	37.38
51.59	38.15
52.01	38.15
52.49921126	38.15
52.76	38.15
52.77172604	38.91
53.23	38.91
53.57	38.91
53.60608097	38.91
54.04	39.17665329
54.26459772	39.67
54.57256436	39.67
54.8	39.67
54.91179275	40.44
55.27	40.44
55.65	40.44
55.65	40.44
56.14	40.44
56.17873643	41.96
56.74525399	41.96
56.83	41.96
57.28	41.96
57.79	42.72
58.19	42.72
58.41210095	43.49
58.58331828	43.49
58.88	43.49
58.88	43.01891645
59.18752494	42.72
59.32	42.72
59.32	44.25
59.77	44.38822869
60.02272864	45.01
60.27394318	44.25
60.56	44.25
60.56	44.74074081
60.91468132	45.01
61.17828533	45.78
61.37	45.78
61.37	46.35117607
61.85863671	46.54
62.07227982	45.78
62.21	45.78
62.51215104	46.54
62.67951086	46.54
63.04	47.38916546
63.42	48.07
63.42	48.07
63.42	48.07
63.76952297	48.07
64	48.07
64.42	48.07
64.67	48.52923643
65.01	48.83
65.52645375	48.83
65.54	49.59
66.02	49.59
66.3	49.59
66.69980635	49.59
66.78269273	50.35
67.1	50.35
67.19549629	50.35
67.62	51.01858065
67.98	51.12
67.98	51.12
68.08910145	51.12
68.57	51.12
69.0096294	52.64
69.25	52.64
69.56400518	52.64
69.78344646	52.64
70.10894436	52.64
70.31	52.64
70.31	52.69898975
70.49565	53.41
70.78	53.7840579
71.05169711	54.17
71.29665008	54.17
71.62	54.71218427
71.99	54.93
71.99	54.93
72.17364125	54.93
72.4	54.93
72.55434057	54.17
72.84	54.7539075
73.31	54.98896202
73.54976739	55.69
73.63	55.69
74.01979029	55.69
74.12081277	56.46
74.41	56.46
74.52365693	57.22
74.89	57.79850721
75.28	57.98
75.28	57.98
75.71	58.13011803
76.00250857	58.75
76.14444562	58.75
76.45	58.75
76.52992373	59.51
77.08867609	59.51
77.31	59.51
77.71	59.51
77.79672947	59.51
78.08	59.51
78.41993624	60.27
78.6	60.27
79.03	60.57269037
79.31	61.04
79.49744109	61.8
79.78	61.8
80.18	61.8
80.28352601	62.56
80.61	62.56
80.61	62.56
81.19574325	62.56
81.34	62.56
81.68643213	62.56
81.79	62.56
82.09281682	63.32
82.29	64.09
82.69	64.09
82.98	64.09
83.19494354	64.09
