Desplaz. [mm]	Fuerza [N]
9.14	1732
9.16577207	1732
9.177	1732
9.213048746	1732
9.214	1730
9.255	1730
9.255	1730
9.29981181	1730
9.301	1730
9.301	1730
9.352	1729.761315
9.377	1729
9.377	1729
9.421	1729
9.443853963	1728
9.467	1727.190592
9.504913238	1727
9.522977327	1727
9.546	1727
9.553745146	1727
9.587	1726.292139
9.626	1726
9.627052649	1726
9.667	1726
9.66827236	1725
9.717	1725
9.745	1725
9.745	1724
9.788279385	1724
9.792	1723
9.832	1723
9.898968399	1723
9.924	1723
9.961587353	1722
10	1721.969527
10.01184457	1721
10.03	1721
10.06813832	1721
10.08	1721
10.13	1720.974431
10.14334915	1720
10.16	1720
10.2	1720
10.2	1719
10.25	1719
10.28	1718.966595
10.29126968	1718
10.32	1718
10.3292536	1717
10.36	1717
10.39684061	1717
10.4	1717
10.44872617	1717
10.45	1717
10.45	1717
10.49887365	1716.463168
10.52	1716
10.54180065	1716
10.57	1716
10.57	1715.771534
10.58432547	1715
10.62	1714.508568
10.65680237	1714
10.66986285	1714
10.69	1713.077366
10.73	1713
10.74795101	1713
10.77	1713
10.81589294	1713
10.82	1713
10.84734948	1711
10.87708429	1711
10.9	1711
10.9	1710
10.93	1710
10.93926874	1710
10.98	1710
10.98	1709.626609
10.98621576	1708
11.03374834	1708
11.05	1708
11.05	1708
11.09075836	1708
11.1	1707.027175
11.14	1707
11.15638934	1707
11.18	1707
11.23514072	1705.823985
11.26	1705
11.29686828	1704
11.3	1704
11.3152914	1704
11.35	1704
11.39	1704
11.40373013	1703
11.43	1703
11.435158	1702
11.47	1702
11.51	1702
11.51	1701
11.56	1701
11.56	1701
11.6	1700.664548
11.63249894	1700
11.64	1700
11.67	1699
11.67725449	1698
11.71	1698
11.7398269	1698
11.75	1698
11.75503562	1698
11.79	1697.240969
11.82465505	1697
11.83	1696.869346
11.84332073	1696
11.87	1696
11.88172878	1695
11.92	1694.242457
11.96	1694
11.97607124	1693
12	1693
12.02845272	1692
12.04	1691
12.08	1691
12.08	1691
12.13	1691
12.13358923	1691
12.18680725	1691
12.2	1690.076814
12.24	1690
12.25133247	1690
12.28	1690
12.28	1690
12.33	1688
12.33935345	1687
12.37	1687
12.41	1687
12.41934502	1686
12.45	1686
12.45	1685
12.51262672	1685
12.53	1684.50813
12.5689812	1684
12.57	1684
12.57107058	1683
12.61	1682.565239
12.63775422	1682
12.66	1681.076353
12.7	1681
12.71924677	1680
12.73	1680
12.73	1679
12.77	1678.653031
12.79358774	1678
12.81	1678
12.84233454	1678
12.86	1678
12.87406874	1677
12.92003948	1677
12.93	1675.472364
12.97	1675
12.97	1675
12.97	1673
13.02	1672.823646
13.04761216	1672
13.07077389	1672
13.1	1672
13.13897585	1672
13.14731932	1670
13.18	1669.390942
13.22	1669
13.22	1669
13.22313969	1669
13.26	1669
13.26	1667.893868
13.29163237	1667
13.31	1665
13.35	1665
13.38	1665
13.38	1665
13.38917001	1663
13.45260237	1662
13.47	1662
13.51	1662
13.51	1661
13.56	1660.409173
13.59	1660
13.59	1658.263972
13.62632808	1658
13.65677385	1657
13.67	1656.134444
13.71	1656
13.71	1656
13.75	1656
13.79865472	1654
13.8	1654
13.8039464	1653
13.85	1652.230391
13.88	1651.74684
13.90374873	1650
13.92	1650
13.92	1648
13.96	1648
13.96881094	1646
14.01	1646
14.01	1645.024558
14.05	1644.332287
14.07262431	1643
14.08	1643
14.08911908	1642
14.12	1640.503116
14.16	1640
14.16	1640
14.16162215	1637
14.22675199	1636.026121
14.24	1634.987548
14.282894	1634
14.29	1632
14.33	1631.540771
14.36244389	1630
14.37	1629.315589
