Desplaz. [mm]	Fuerza [N]
0	0
0.000955562	0
0.006547398	0.7629
0.018986106	9.918
0.03676	9.918
0.03676	21.82238107
0.070661723	28.99
0.07343	28.99
0.097485783	39.67
0.1211	47.16159161
0.1702	51.52799429
0.1912	56.20772885
0.199043268	74.77
0.2336	74.77
0.249832244	106.8
0.2752	136.4799757
0.3137	137.3
0.3137	156.5995823
0.349211523	171.7
0.373556807	201.4
0.397	226.4245603
0.4368	234.2
0.4368	244.9052712
0.457210393	268.6
0.477	268.6
0.477	315.9
0.52443622	315.9
0.55202554	339.5
0.5612	371.6
0.6002	371.6
0.60539318	405.1
0.6405	420.917082
0.668420481	441
0.690458236	472.3
0.7246	472.3
0.75861881	504.3
0.7636	504.3
0.7636	542.4
0.8136	559.5347647
0.847	568.4
0.863289055	598.9
0.8872	598.9
0.916329716	629.4
0.9279	658.1403817
0.968	660.7
0.968	660.7
0.96920664	691.2
1.014	700.4911992
1.044070665	717.9
1.049	717.9
1.067705299	756.1
1.107861248	777.4
1.133	777.4
1.133	798.9922836
1.171534832	810.2
1.18925686	834.7
1.212	834.7
1.212	834.7
1.251508985	877.4
1.297	889.6
1.31620852	914.8
1.335	932.8148982
1.372587265	945.3
1.384	971.2
1.424	971.2
1.444047353	999.5
1.479204212	1018
1.5	1018
1.533897127	1048
1.55067722	1068
1.582	1068
1.582	1096
1.627721555	1096
1.645711995	1116
1.663	1116
1.712	1144
1.731426981	1164
1.743	1164
1.751221951	1189
1.787	1189
1.829113359	1222.339418
1.858652828	1235
1.867	1257
1.907	1257
1.937231435	1284
1.957	1301.221007
1.999	1305
2.004761435	1327
2.038	1338.543083
2.07	1342
2.091525933	1360
2.113	1360
2.122381739	1377
2.163	1344.456114
2.195720063	1311
