Desplaz. [mm]	Fuerza [N]
0	0
5.05788E-05	0
0.00008392	0
0.00008392	3.815
0.06764	14.35769038
0.146287065	32.20083591
0.1895	47.04904546
0.287075754	60.27
0.3207	60.27
0.348101973	86.21
0.4695	112.4573273
0.5838	114.4
0.660971634	170.1
0.7793	198.802827
0.911838672	209
0.922038295	238.8
1.037	238.8
1.037	238.8
1.186158863	280.5573837
1.277096489	293
1.279	319.7
1.424	324.8712016
1.49604173	341
1.524	341
1.524	366.3034501
1.669986751	367
1.737113269	381.5
1.772	381.5
1.772	403.6
1.919	404.0508717
1.964235756	420.4
2.034	433.3
2.137	433.3
2.137	433.3
2.27725518	452.4
2.347724567	463.9
2.382	463.9
2.552	483.7449766
2.626303168	491.3
2.639674389	504.3
2.765	504.3
2.765	512.3589898
2.882958266	518.8
2.988995612	528.7
3.037054335	539.4
3.123	539.4
3.162941504	550.8
3.26	550.8
3.26	563.8
3.416	568.7858488
3.485	573.9397008
3.57915749	579.1
3.608	587.5
3.732	587.5
3.732	587.5
3.871207777	595.9
3.875	595.9
3.970704941	605.8
4.046529196	611.9
4.098	611.9
4.101668204	619.5
4.242	621.5051387
4.313241784	626.4
4.37	631.5316143
4.492	633.319263
4.555491134	637.8
4.588	637.8
4.67270395	644.7
4.716	644.7
4.716	650.8
4.856	650.8
4.896767135	655.4
4.973	655.4
4.976898517	662.2
5.127	664.4683877
5.23	666
5.288506688	669.9
5.328	669.9
5.346564723	675.2
5.468	677.061199
5.559802533	679
5.596	679
5.721299155	684.4404524
5.798713784	685.9
5.838	685.9
5.979016089	691.2
5.983	691.2
5.983	691.2
6.002732281	698.1
6.250312349	698.9
6.26913467	701.9
6.401592844	703.4
6.451	705.5180926
6.549	706.6171337
6.612559378	708.8
6.689	710.4020163
6.814116013	711.1
6.858233086	713.3
6.939	714.6113257
7.039	714.9
7.039	715.5648924
7.122180047	717.2
7.167	717.2
7.167	720.2
7.326	720.2
7.388204568	721.7
7.441991095	723.3
7.53	723.3
7.53	723.7899877
7.656	724
7.770103844	726.3
7.816	727.8
7.951	727.8
8.017	727.8
8.073185389	729.4
8.181	730.0081098
8.289	730.1
8.409437514	730.9
8.436	732.4
8.575	732.7598842
8.662	733.2952293
8.754590876	733.9
8.757	733.9
8.774849878	733.9
8.895	733.9
8.91790796	734.7
9.07346901	734.7
9.122	734.7
9.210494782	734.7
9.248	735.5
9.367	735.5
9.367	735.964314
9.423605681	736.2
9.534	736.2
9.648566124	736.2
9.705944429	737
9.735	737
9.795944195	736.2
9.858	736.8505941
9.968784344	737
9.985	737
9.997019756	737
10.14	737
10.23	737
10.23	736.7710789
10.29600402	736.2
10.35	736.9796369
10.47	737
10.57699249	736.2
10.62	736.2
10.74	736.2
10.82196213	736.2
10.84	736.2
10.94665849	736.2
10.97	736.2
11.03973478	735.5
11.11	735.5
11.22765755	735.5
11.25437077	735.5
11.35	735.0305875
11.45	734.7
11.45	734.0055536
11.58	733.9
11.58	733.9
11.7179656	733.9
11.73	733.9
11.82606962	733.2
11.93929318	733.2
11.95	732.4
12.07	732.4
12.07	732.3446567
12.10303925	731.7
12.21	731.422674
12.2865149	730.9
12.34	730.9
12.45	730.7138736
12.54189433	730.1
12.56	730.1
12.56939217	729.4
12.68	729.4
12.68	729.4
12.81646344	729.4
12.82	729.4
12.88692203	728.6
13.00857847	727.1
13.07	727.1
13.19	727.1
13.19263274	726.3
13.29	726.3
13.29	725.835141
13.3800757	725.6
13.49390377	725.6
13.54	724.9057885
13.66	724.8
13.67588813	724
13.78	724
13.78	723.9074336
13.82013646	723.3
13.92	723.3
14.07587645	721.7
14.15	721.7
14.27188682	721
14.30884117	720.2
