Desplaz. [mm]	Fuerza [N]
0	0
0.000137078	0
0.0001678	0
0.016892997	4.578
0.03097	17.34988381
0.06731	21.36
0.110444873	36.62
0.122600691	40.44
0.1499	40.44
0.1499	40.44
0.172785895	51.88
0.227	60.27
0.235088318	80.87
0.2712	92.40569684
0.3062	99.95
0.3062	119.8234673
0.3552	125.9
0.391745835	151.1
0.40990702	169.4
0.4379	183.9734918
0.4696	186.2
0.509449631	206
0.5105	206
0.5105	235
0.558867284	235.278688
0.590598207	245.7
0.593	264.7
0.6394	267.6394176
0.663668554	280.8
0.6739	280.8
0.685807426	302.9
0.7236	313.7804338
0.7655	318.1
0.807426147	334.9
0.835236745	344.8
0.840579381	360.1
0.8788	360.1
0.903487901	380.7
0.952322648	388.3
0.9613	400.6775471
1.002	403.6
1.009690407	417.3
1.043	417.3
1.066860052	434.1
1.096	446.9969168
1.139	452.114502
1.162689693	460.1
1.17650402	473.8
1.205	473.8
1.205	483.7074485
1.247	489
1.250457873	503.5
1.289	503.5
1.3163292	518.8
1.350937327	531
1.368	531
1.400016332	544.7
1.41	558.5
1.45	558.5
1.477169312	575.3
1.501	587.5
1.534	587.5
1.534	598.7801431
1.58076661	603.5
1.595799904	613.4
1.613	613.4
1.61986452	629.4
1.663	629.4
1.693353256	645.4
1.734377718	652.3
1.737	664.5
1.777	669.5468356
1.813603143	677.5
1.819	677.5
1.822975955	692
1.868	697.1148391
1.899117829	703.4
1.919228718	712.6
1.941	712.6
1.941	717.5544665
1.972801972	722.5
1.983	733.2
2.024	735.0316684
2.048314998	743.1
2.064	743.1
2.064	756.8
2.119	759.5032202
2.145	762.9
2.186	772.9
2.186	784.3
2.229	784.3
2.229	798
2.29	800.2639812
2.316994006	805.7
2.338793956	814.1
2.351	814.1
2.351	824.7
2.399	824.7
2.445	835.6043896
2.459289535	843
2.477	843
2.512079061	853
2.520803314	862.9
2.554	862.9
2.58550431	875.1
2.611	883.983227
2.651	887.2793972
2.678	891.1
2.685169298	899.5
2.716	899.5
2.763	909.4
2.763	919.3
2.808	923.1150115
2.84	926.2
2.84	926.4739829
2.853365497	936.1
2.887	941.2156343
2.927	944.5
2.940737517	952.1
2.962	952.1
2.996375672	960.5
3.005049071	969.7
3.044	969.7
3.044	974.8092956
3.077995002	978.9
3.09669688	985.7
3.126	985.7
3.150257732	993.3
3.171	1003
3.212	1004.694772
3.24324771	1010
3.248	1010
3.266228314	1018
3.289	1018
3.289	1026.208659
3.337697308	1028
3.346625234	1036
3.38	1039.817266
3.412	1041.922841
3.429772027	1048
3.452	1048
3.465512526	1056
3.498	1060.993127
3.539	1063
3.539	1063
3.539	1073
3.580392887	1073
3.609723684	1077
3.623	1082.842914
3.656	1083
3.657133061	1089
3.698	1089
3.714277047	1099
3.753664266	1101.758873
3.779	1104.789852
3.807853125	1109
3.82	1109
3.866768968	1115
3.868	1122
3.909	1122
3.909	1129
3.969544808	1131.437211
3.985	1134.81807
4.014735912	1137
4.024	1142
4.066	1142
4.066	1142
4.093181388	1149
4.119215402	1153
4.146	1154.377802
4.174795478	1157
4.187	1157
4.200560523	1163
4.234	1166.279651
4.27	1167
4.279921389	1173
4.323	1175.253492
4.347820621	1178
4.36	1181
4.397	1181
4.438890518	1187
4.44	1190
4.482	1191.869927
4.516	1194
4.516	1195.201724
4.539239	1197
4.555	1201.872076
4.596	1202
4.658	1207
4.65896725	1210
4.695	1211.654208
4.724	1213.173266
4.748740214	1215
4.759	1215
4.760198782	1218
4.806	1218.612888
4.807211536	1222
4.855	1223.369349
4.878833098	1226
4.909229659	1228
4.925	1228
4.942371941	1231
4.969	1232.826518
5.006	1234
5.006	1234
5.014367308	1237
5.05	1238.218463
5.084110617	1239
5.090166185	1242
5.127	1242
5.128333043	1244
5.176	1245.179022
5.210322862	1247
5.215	1247
5.215	1250
5.265	1250.820127
5.291	1251.274399
5.300684914	1254
5.332	1254
5.378	1256
5.411771695	1258
5.422	1258
5.432387079	1262
5.490113148	1263
5.493	1263
5.493	1263
5.501180839	1266
5.557439032	1266
5.577	1266
5.607896335	1270
5.64	1272
5.681	1272.482608
5.698	1273
5.727172144	1275
5.742	1275
5.742	1275
5.776158579	1276
5.82	1277
5.862	1279
5.865329554	1280
5.904	1280
5.955633916	1283
5.957	1285
6.002	1285.50134
6.024	1286.365707
6.036533584	1288
6.066	1288
6.066	1288.716736
6.106801044	1289
6.116268618	1290
6.154	1290
6.161403787	1292
6.197	1292.814704
6.232	1293.341906
6.252986915	1294
6.27	1294
6.27	1297
6.319	1297
6.319	1297
6.358071368	1299
6.391130729	1300
6.395	1302
6.434	1302
6.462155476	1302
6.475	1302
6.513492133	1304
6.522	1305
6.563	1305.134673
6.592194679	1306
6.597	1306
6.647597901	1308
6.663	1308.79294
6.681578695	1310
6.728	1310.184689
6.753045271	1311
6.774	1313
6.809	1313.294075
6.837848884	1314
6.85091621	1315
6.885	1315
6.932448007	1317
6.960920578	1318
6.965	1318
7.006	1318
7.033656314	1319
7.056	1320.947184
7.098	1321.081131
7.124615586	1322
7.135	1323
7.169	1323
7.169	1323.650578
7.204057566	1324
7.212	1324
7.252257848	1325
7.261	1326
7.302	1326.681879
7.333858989	1328
7.349943797	1328
7.373	1328
7.396061019	1329
7.415	1329
7.415	1330
7.466	1330
7.515	1331.343255
7.537	1332
7.54143356	1335
7.587	1335.599577
7.627	1336
7.633885878	1337
7.682394084	1337
7.701	1337.59747
7.738817979	1338
7.745218988	1339
7.783	1339
7.783	1339
7.807585913	1340
7.838	1340.975303
7.88	1341.536321
7.904	1342.239455
7.924550298	1343
7.945	1343
7.959518217	1344
7.992	1344
7.992	1344
8.043479446	1344.133996
8.068	1345
8.068	1347
8.111	1347
8.142266333	1347
8.15	1347
8.1860489	1348
8.203513298	1349
8.232	1349.711695
8.273	1350
8.282521779	1350
8.313	1350
8.313	1351.516169
8.358800687	1352
8.36	1353
8.404	1353
8.437	1353
8.458673831	1354
8.477	1354
8.477	1354
8.518	1354
8.544985356	1356
8.567	1356
8.609	1356.241446
8.642971395	1357
8.657960472	1357
8.681	1357
8.711544517	1358
8.724	1358.02577
8.725275756	1359
8.772	1359
8.791579423	1360
8.843	1360
8.852848165	1361
8.885	1361
8.916274474	1361
8.926	1361
8.934699792	863.6
