Desplaz. [mm]	Fuerza [N]
0	0
0.000110832	0.7629
0.0001678	0.7629
0.018950171	3.052
0.04068422	9.918
0.061501457	16.02
0.06588	19.84
0.1099	20.40246771
0.132727172	22.89
0.1443	22.89
0.170693857	40.44
0.220095883	55.69
0.235112018	78.58
0.2661	90.50169206
0.293141764	112.9
0.3071	147.2
0.3485	147.2
0.365724367	189.2
0.3978	216.7
0.4304	216.7
0.467019411	252.5
0.476324639	283.1
0.5118	283.1
0.528086791	326.5
0.5677	348.0172686
0.606607715	362.2729456
0.633	375.4
0.646802622	405.9
0.6803	427.3870775
0.7205	434.1
0.760367853	476.1
0.793890308	499
0.830108351	512.7
0.838	512.7
0.852488586	544
0.888	563.2391022
0.9286	569.2
0.968981068	595.1
0.993711461	611.1
1.001	611.1
1.030557537	634.8
1.042	634.8
1.068233967	663
1.09	681.4261876
1.131895759	688.9
1.146247981	707.2
1.166	707.2
1.166	730.1
1.206	730.1
1.239566601	757.6
1.253	778.2
1.292	778.2
1.311944796	809.5
1.349747706	829.3
1.379	839.43613
1.415054863	847.6
1.416	847.6
1.419163321	870.5
1.456	870.5
1.456	902.6
1.514	906.3553658
1.533	915.5
1.5366594	939.2
1.578	951.4102921
1.614054113	959.8
1.615	959.8
1.636143069	989.5
1.669	1007.010179
1.706	1012.94927
1.731773879	1033
1.745828269	1052
1.778	1052
1.817063246	1074
1.823	1099
1.865	1099
1.882984004	1128
1.917	1146.487325
1.951	1151.051249
1.974285829	1164
1.982	1164
2.000745855	1188
2.029	1188
2.030349326	1218
2.08	1225.125194
2.105	1232.86053
2.112652927	1254
2.146	1254
2.146	1267.584558
2.166947944	1278
2.194	1278
2.194	1282.443153
2.20161411	1302
2.249	1293.436344
